LAD20NM,Group Name
Hastings,"['Low density wholesale and retail' 'Public administration and security'
 'Manufacturing, energy and utilities' 'Eat, drink and be merry'
 'Big city life' 'Healthcare and public administration'
 'Traditional high streets' 'Market squares'
 'Multiethnic urban high streets' 'Mining and quarrying facilities'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Traditional countryside' 'Town fringe countryside '
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries' 'Large scale education'
 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs']"
Havant,"['Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Business parks' 'Market squares' 'Healthcare and public administration'
 'Public administration and security' 'Science and business parks'
 'Traditional high streets' 'Large scale education'
 'Mining and quarrying facilities' 'Shop until you drop'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Traditional countryside' 'Town fringe countryside '
 'Accessible countryside' 'Rural with mining or quarrying']"
Havering,"['Healthcare and public administration' 'Multiethnic urban high streets'
 'Shop until you drop' 'Business parks' 'Industrial units'
 'Mining and quarrying facilities' 'Regional business centres'
 'Administrative centres ' 'Metro suburban distribution industries'
 'Eat, drink and be merry' 'Traditional high streets'
 'Science and business parks' 'Accessible countryside' 'Big city life'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Primarily residential suburbs' 'Teachers and carers in metro suburbs'
 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs' 'Large scale education'
 'Traditional countryside' 'Rural with mining or quarrying']"
"Herefordshire, County of","['Large scale education' 'Manufacturing, energy and utilities'
 'Traditional high streets' 'Low density wholesale and retail'
 'Public administration and security' 'Market squares'
 'Healthcare and public administration' 'Mining and quarrying facilities'
 'Traditional countryside' 'Accessible countryside'
 'Eat, drink and be merry' 'Rural with mining or quarrying'
 'Town fringe countryside ' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs']"
Hertsmere,"['Eat, drink and be merry' 'Healthcare and public administration'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries' 'Multiethnic urban high streets'
 'Science and business parks' 'Big city life' 'Administrative centres '
 'Industrial units' 'Business parks'
 'Teachers and carers in metro suburbs' 'Regional business centres'
 'Large scale education' 'Primarily residential suburbs'
 'Accessible countryside' 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs']"
High Peak,"['Rural with mining or quarrying' 'Traditional high streets'
 'Public administration and security' 'Non-metropolitan suburban areas'
 'Mining and quarrying facilities' 'Large scale education'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Market squares' 'Primarily residential suburbs'
 'Traditional countryside' 'Town fringe countryside '
 'Accessible countryside']"
Hillingdon,"['Big city life' 'Multiethnic urban high streets'
 'Science and business parks' 'Industrial units' 'Administrative centres '
 'Global business' 'Healthcare and public administration'
 'Shop until you drop' 'Metro suburban distribution industries'
 'Regional business centres' 'Independent professional metro services'
 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Accessible countryside']"
Hinckley and Bosworth,"['Business parks' 'Accessible countryside'
 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Eat, drink and be merry'
 'Market squares' 'Traditional high streets'
 'Public administration and security' 'Mining and quarrying facilities'
 'Town fringe countryside ' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Traditional countryside' 'Large scale education' 'Industrial units'
 'Low density wholesale and retail'
 'Professional home-workers in outer suburbs']"
Horsham,"['Accessible countryside' 'Rural with mining or quarrying'
 'Low density wholesale and retail' 'Eat, drink and be merry'
 'Regional business centres' 'Traditional high streets'
 'Multiethnic urban high streets' 'Shop until you drop'
 'Large scale education' 'Business parks'
 'Healthcare and public administration'
 'Public administration and security' 'Science and business parks'
 'Metro suburban distribution industries' 'Primarily residential suburbs'
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs' 'Town fringe countryside '
 'Manufacturing, energy and utilities' 'Industrial units' 'Market squares']"
Hounslow,"['Science and business parks' 'Industrial units' 'Global business'
 'Big city life' 'Administrative centres '
 'Multiethnic urban high streets' 'Metro suburban distribution industries'
 'Independent professional metro services' 'Shop until you drop'
 'Eat, drink and be merry'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Healthcare and public administration']"
Huntingdonshire,"['Healthcare and public administration' 'Business parks'
 'Public administration and security' 'Science and business parks'
 'Accessible countryside' 'Industrial units'
 'Manufacturing, energy and utilities' 'Traditional high streets'
 'Shop until you drop' 'Large scale education' 'Eat, drink and be merry'
 'Low density wholesale and retail' 'Market squares'
 'Mining and quarrying facilities' 'Multiethnic urban high streets'
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Town fringe countryside ' 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries']"
Hyndburn,"['Business parks' 'Manufacturing, energy and utilities'
 'Mining and quarrying facilities' 'Industrial units'
 'Multiethnic urban high streets' 'Large scale education'
 'Traditional high streets' 'Public administration and security'
 'Market squares' 'Healthcare and public administration'
 'Low density wholesale and retail' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Town fringe countryside ' 'Teachers and carers in metro suburbs']"
Ipswich,"['Shop until you drop' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Traditional high streets'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Business parks' 'Large scale education'
 'Public administration and security' 'Mining and quarrying facilities'
 'Big city life' 'Industrial units' 'Regional business centres'
 'Healthcare and public administration' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
Isle of Wight,"['Town fringe countryside ' 'Traditional high streets' 'Market squares'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Large scale education' 'Public administration and security'
 'Eat, drink and be merry' 'Business parks'
 'Mining and quarrying facilities' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Traditional countryside' 'Healthcare and public administration'
 'Accessible countryside']"
Isles of Scilly,"['Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Town fringe countryside ']"
Islington,"['Big city life' 'Administrative centres ' 'Shop until you drop'
 'Global business' 'Science and business parks'
 'Independent professional metro services'
 'Metro suburban distribution industries' 'Eat, drink and be merry'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
Kensington and Chelsea,"['Big city life' 'Global business' 'Administrative centres '
 'Multiethnic urban high streets'
 'Independent professional metro services'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries']"
Kettering,"['Industrial units' 'Accessible countryside' 'Town fringe countryside '
 'Market squares' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Traditional high streets'
 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Business parks'
 'Shop until you drop' 'Public administration and security'
 'Low density wholesale and retail' 'Rural with mining or quarrying'
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs' 'Science and business parks'
 'Large scale education']"
King's Lynn and West Norfolk,"['Large scale education' 'Market squares'
 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Shop until you drop'
 'Low density wholesale and retail' 'Traditional high streets'
 'Public administration and security' 'Industrial units'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Traditional countryside' 'Accessible countryside'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Mining and quarrying facilities']"
"Kingston upon Hull, City of","['Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Market squares' 'Business parks' 'Public administration and security'
 'Industrial units' 'Mining and quarrying facilities'
 'Eat, drink and be merry' 'Metro suburban distribution industries'
 'Shop until you drop' 'Large scale education'
 'Healthcare and public administration' 'Traditional high streets'
 'Multiethnic urban high streets' 'Regional business centres'
 'Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Traditional countryside']"
Kingston upon Thames,"['Big city life' 'Healthcare and public administration'
 'Administrative centres ' 'Eat, drink and be merry'
 'Science and business parks' 'Industrial units' 'Shop until you drop'
 'Large scale education' 'Regional business centres'
 'Multiethnic urban high streets' 'Global business' 'Business parks'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries' 'Primarily residential suburbs']"
Kirklees,"['Industrial units' 'Multiethnic urban high streets' 'Shop until you drop'
 'Market squares' 'Business parks' 'Manufacturing, energy and utilities'
 'Eat, drink and be merry' 'Healthcare and public administration'
 'Low density wholesale and retail' 'Large scale education'
 'Metro suburban distribution industries'
 'Mining and quarrying facilities' 'Public administration and security'
 'Big city life' 'Regional business centres' 'Traditional high streets'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Accessible countryside' 'Traditional countryside'
 'Town fringe countryside ' 'Teachers and carers in metro suburbs'
 'Rural with mining or quarrying'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
Knowsley,"['Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Business parks' 'Large scale education'
 'Public administration and security' 'Market squares'
 'Traditional high streets' 'Town fringe countryside '
 'Low density wholesale and retail' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Healthcare and public administration' 'Traditional countryside'
 'Accessible countryside']"
Lambeth,"['Big city life' 'Administrative centres ' 'Global business'
 'Metro suburban distribution industries' 'Multiethnic urban high streets'
 'Industrial units' 'Science and business parks'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Independent professional metro services']"
Lancaster,"['Eat, drink and be merry' 'Manufacturing, energy and utilities'
 'Public administration and security' 'Low density wholesale and retail'
 'Healthcare and public administration' 'Market squares'
 'Mining and quarrying facilities' 'Traditional high streets'
 'Shop until you drop' 'Large scale education' 'Business parks'
 'Professional home-workers in outer suburbs' 'Town fringe countryside '
 'Accessible countryside' 'Rural with mining or quarrying'
 'Traditional countryside' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas']"
Leeds,"['Market squares' 'Public administration and security'
 'Eat, drink and be merry' 'Traditional high streets'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Industrial units' 'Multiethnic urban high streets'
 'Mining and quarrying facilities' 'Business parks'
 'Healthcare and public administration' 'Regional business centres'
 'Science and business parks' 'Accessible countryside'
 'Shop until you drop' 'Metro suburban distribution industries'
 'Large scale education' 'Administrative centres ' 'Big city life'
 'Global business' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Independent professional metro services' 'Town fringe countryside ']"
Leicester,"['Industrial units' 'Healthcare and public administration'
 'Large scale education' 'Shop until you drop'
 'Multiethnic urban high streets' 'Big city life'
 'Regional business centres' 'Metro suburban distribution industries'
 'Business parks' 'Teachers and carers in metro suburbs'
 'Administrative centres ' 'Manufacturing, energy and utilities'
 'Science and business parks' 'Eat, drink and be merry'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Mining and quarrying facilities' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs']"
Lewes,"['Accessible countryside' 'Science and business parks'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Market squares'
 'Eat, drink and be merry' 'Shop until you drop'
 'Primarily residential suburbs' 'Large scale education'
 'Low density wholesale and retail' 'Business parks'
 'Healthcare and public administration' 'Traditional high streets'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas' 'Town fringe countryside ']"
Lewisham,"['Big city life' 'Metro suburban distribution industries'
 'Administrative centres ' 'Teachers and carers in metro suburbs'
 'Industrial units' 'Multiethnic urban high streets' 'Shop until you drop'
 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Science and business parks']"
Lichfield,"['Industrial units' 'Rural with mining or quarrying' 'Business parks'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Accessible countryside' 'Low density wholesale and retail'
 'Healthcare and public administration' 'Eat, drink and be merry'
 'Market squares' 'Public administration and security'
 'Traditional high streets' 'Large scale education'
 'Primarily residential suburbs' 'Town fringe countryside '
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Multiethnic urban high streets']"
Lincoln,"['Mining and quarrying facilities' 'Public administration and security'
 'Low density wholesale and retail' 'Eat, drink and be merry'
 'Traditional high streets' 'Shop until you drop'
 'Manufacturing, energy and utilities' 'Multiethnic urban high streets'
 'Market squares' 'Large scale education' 'Business parks'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Accessible countryside' 'Healthcare and public administration'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Professional home-workers in outer suburbs']"
Liverpool,"['Eat, drink and be merry' 'Healthcare and public administration'
 'Public administration and security' 'Business parks'
 'Large scale education' 'Low density wholesale and retail'
 'Traditional high streets' 'Manufacturing, energy and utilities'
 'Regional business centres' 'Mining and quarrying facilities'
 'Administrative centres ' 'Shop until you drop'
 'Multiethnic urban high streets' 'Big city life' 'Industrial units'
 'Science and business parks' 'Market squares'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Metro suburban distribution industries'
 'Rural with mining or quarrying'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs']"
Luton,"['Healthcare and public administration' 'Multiethnic urban high streets'
 'Industrial units' 'Science and business parks' 'Administrative centres '
 'Big city life' 'Shop until you drop'
 'Metro suburban distribution industries'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs']"
Maidstone,"['Business parks' 'Mining and quarrying facilities'
 'Town fringe countryside ' 'Manufacturing, energy and utilities'
 'Eat, drink and be merry' 'Large scale education'
 'Science and business parks' 'Multiethnic urban high streets'
 'Regional business centres' 'Accessible countryside'
 'Shop until you drop' 'Public administration and security'
 'Traditional high streets' 'Market squares'
 'Healthcare and public administration' 'Industrial units'
 'Traditional countryside' 'Primarily residential suburbs'
 'Rural with mining or quarrying'
 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Low density wholesale and retail'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs']"
Maldon,"['Accessible countryside' 'Public administration and security'
 'Business parks' 'Manufacturing, energy and utilities'
 'Low density wholesale and retail' 'Mining and quarrying facilities'
 'Market squares' 'Healthcare and public administration'
 'Town fringe countryside ' 'Traditional countryside'
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Large scale education']"
Malvern Hills,"['Industrial units' 'Large scale education'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Business parks' 'Public administration and security'
 'Eat, drink and be merry' 'Market squares' 'Traditional high streets'
 'Traditional countryside' 'Accessible countryside'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas']"
Manchester,"['Science and business parks' 'Industrial units' 'Business parks'
 'Metro suburban distribution industries' 'Big city life'
 'Healthcare and public administration' 'Regional business centres'
 'Multiethnic urban high streets' 'Eat, drink and be merry'
 'Administrative centres ' 'Large scale education'
 'Manufacturing, energy and utilities'
 'Public administration and security' 'Shop until you drop'
 'Global business' 'Non-metropolitan suburban areas'
 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Primarily residential suburbs' 'Independent professional metro services']"
Mansfield,"['Large scale education' 'Market squares'
 'Healthcare and public administration' 'Low density wholesale and retail'
 'Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Traditional high streets' 'Public administration and security'
 'Eat, drink and be merry' 'Shop until you drop' 'Business parks'
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas'
 'Metro suburban distribution industries']"
Medway,"['Shop until you drop' 'Business parks' 'Non-metropolitan suburban areas'
 'Low density wholesale and retail'
 'Metro suburban distribution industries' 'Eat, drink and be merry'
 'Large scale education' 'Traditional high streets'
 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Multiethnic urban high streets'
 'Public administration and security' 'Industrial units' 'Market squares'
 'Big city life' 'Accessible countryside' 'Town fringe countryside '
 'Mining and quarrying facilities' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Traditional countryside'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs']"
Melton,"['Manufacturing, energy and utilities' 'Market squares'
 'Traditional high streets' 'Business parks' 'Industrial units'
 'Public administration and security' 'Large scale education'
 'Accessible countryside' 'Traditional countryside'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Primarily residential suburbs' 'Low density wholesale and retail'
 'Non-metropolitan suburban areas']"
Mendip,"['Rural with mining or quarrying' 'Mining and quarrying facilities'
 'Town fringe countryside ' 'Manufacturing, energy and utilities'
 'Low density wholesale and retail' 'Non-metropolitan suburban areas'
 'Market squares' 'Large scale education' 'Business parks'
 'Public administration and security' 'Traditional high streets'
 'Eat, drink and be merry' 'Healthcare and public administration'
 'Traditional countryside' 'Accessible countryside'
 'Primarily residential suburbs']"
Merton,"['Administrative centres ' 'Industrial units' 'Big city life'
 'Metro suburban distribution industries' 'Science and business parks'
 'Global business' 'Regional business centres'
 'Independent professional metro services'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Shop until you drop' 'Professional home-workers in outer suburbs'
 'Healthcare and public administration']"
Mid Devon,"['Manufacturing, energy and utilities' 'Town fringe countryside '
 'Large scale education' 'Low density wholesale and retail'
 'Market squares' 'Traditional high streets'
 'Public administration and security' 'Business parks'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Mining and quarrying facilities' 'Non-metropolitan suburban areas'
 'Accessible countryside']"
Mid Suffolk,"['Accessible countryside' 'Manufacturing, energy and utilities'
 'Business parks' 'Large scale education'
 'Mining and quarrying facilities' 'Traditional high streets'
 'Traditional countryside' 'Town fringe countryside '
 'Rural with mining or quarrying' 'Low density wholesale and retail'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Healthcare and public administration'
 'Public administration and security']"
Mid Sussex,"['Accessible countryside' 'Healthcare and public administration'
 'Market squares' 'Low density wholesale and retail'
 'Traditional high streets' 'Business parks'
 'Manufacturing, energy and utilities' 'Science and business parks'
 'Large scale education' 'Industrial units' 'Eat, drink and be merry'
 'Regional business centres' 'Public administration and security'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Multiethnic urban high streets'
 'Professional home-workers in outer suburbs'
 'Rural with mining or quarrying' 'Traditional countryside']"
Middlesbrough,"['Healthcare and public administration' 'Low density wholesale and retail'
 'Large scale education' 'Manufacturing, energy and utilities'
 'Mining and quarrying facilities' 'Shop until you drop' 'Business parks'
 'Public administration and security' 'Traditional high streets'
 'Multiethnic urban high streets' 'Industrial units'
 'Eat, drink and be merry' 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Non-metropolitan suburban areas' 'Market squares'
 'Metro suburban distribution industries' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Traditional countryside']"
Milton Keynes,"['Industrial units' 'Business parks' 'Eat, drink and be merry'
 'Shop until you drop' 'Multiethnic urban high streets' 'Big city life'
 'Regional business centres' 'Healthcare and public administration'
 'Public administration and security' 'Accessible countryside'
 'Market squares' 'Science and business parks' 'Global business'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Administrative centres ' 'Large scale education'
 'Independent professional metro services']"
Mole Valley,"['Eat, drink and be merry' 'Large scale education'
 'Low density wholesale and retail' 'Science and business parks'
 'Traditional high streets' 'Big city life' 'Regional business centres'
 'Industrial units' 'Business parks'
 'Healthcare and public administration'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Accessible countryside'
 'Rural with mining or quarrying' 'Metro suburban distribution industries'
 'Traditional countryside' 'Public administration and security'
 'Non-metropolitan suburban areas']"
New Forest,"['Public administration and security'
 'Healthcare and public administration' 'Accessible countryside'
 'Manufacturing, energy and utilities' 'Large scale education'
 'Market squares' 'Business parks' 'Traditional high streets'
 'Low density wholesale and retail' 'Non-metropolitan suburban areas'
 'Industrial units' 'Mining and quarrying facilities'
 'Eat, drink and be merry' 'Regional business centres'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Primarily residential suburbs' 'Town fringe countryside '
 'Professional home-workers in outer suburbs']"
Newark and Sherwood,"['Low density wholesale and retail' 'Mining and quarrying facilities'
 'Manufacturing, energy and utilities' 'Business parks'
 'Large scale education' 'Public administration and security'
 'Traditional high streets' 'Eat, drink and be merry' 'Market squares'
 'Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Town fringe countryside ' 'Healthcare and public administration'
 'Industrial units' 'Traditional countryside' 'Accessible countryside'
 'Primarily residential suburbs']"
Newcastle upon Tyne,"['Business parks' 'Mining and quarrying facilities'
 'Public administration and security' 'Low density wholesale and retail'
 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Science and business parks'
 'Professional home-workers in outer suburbs' 'Large scale education'
 'Traditional high streets' 'Shop until you drop'
 'Eat, drink and be merry' 'Administrative centres '
 'Regional business centres' 'Multiethnic urban high streets'
 'Market squares' 'Big city life' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Independent professional metro services' 'Industrial units']"
Newcastle-under-Lyme,"['Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Industrial units' 'Town fringe countryside ' 'Traditional high streets'
 'Public administration and security' 'Shop until you drop'
 'Multiethnic urban high streets' 'Healthcare and public administration'
 'Science and business parks' 'Low density wholesale and retail'
 'Large scale education' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Market squares' 'Primarily residential suburbs' 'Business parks'
 'Professional home-workers in outer suburbs' 'Accessible countryside']"
Newham,"['Administrative centres ' 'Shop until you drop' 'Industrial units'
 'Big city life' 'Multiethnic urban high streets'
 'Metro suburban distribution industries' 'Science and business parks'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs'
 'Independent professional metro services']"
North Devon,"['Public administration and security'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Accessible countryside' 'Traditional high streets' 'Market squares'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Mining and quarrying facilities' 'Healthcare and public administration'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Large scale education']"
North East Derbyshire,"['Traditional countryside' 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Traditional high streets' 'Market squares'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Large scale education' 'Industrial units']"
North East Lincolnshire,"['Public administration and security'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Mining and quarrying facilities' 'Market squares'
 'Healthcare and public administration' 'Business parks'
 'Large scale education' 'Traditional high streets'
 'Eat, drink and be merry' 'Town fringe countryside '
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Traditional countryside']"
North Hertfordshire,"['Eat, drink and be merry' 'Industrial units' 'Business parks'
 'Manufacturing, energy and utilities' 'Regional business centres'
 'Accessible countryside' 'Shop until you drop'
 'Healthcare and public administration'
 'Metro suburban distribution industries' 'Multiethnic urban high streets'
 'Public administration and security' 'Traditional high streets'
 'Market squares' 'Large scale education' 'Primarily residential suburbs'
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas' 'Science and business parks'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
North Kesteven,"['Rural with mining or quarrying' 'Healthcare and public administration'
 'Accessible countryside' 'Public administration and security'
 'Industrial units' 'Mining and quarrying facilities'
 'Manufacturing, energy and utilities' 'Business parks'
 'Large scale education' 'Low density wholesale and retail'
 'Market squares' 'Traditional high streets' 'Eat, drink and be merry'
 'Traditional countryside' 'Town fringe countryside '
 'Primarily residential suburbs' 'Non-metropolitan suburban areas']"
North Lincolnshire,"['Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Low density wholesale and retail' 'Market squares'
 'Public administration and security' 'Industrial units' 'Business parks'
 'Large scale education' 'Healthcare and public administration'
 'Traditional high streets' 'Multiethnic urban high streets'
 'Non-metropolitan suburban areas' 'Rural with mining or quarrying'
 'Accessible countryside' 'Traditional countryside'
 'Town fringe countryside ' 'Primarily residential suburbs']"
North Norfolk,"['Mining and quarrying facilities' 'Public administration and security'
 'Market squares' 'Low density wholesale and retail'
 'Manufacturing, energy and utilities' 'Town fringe countryside '
 'Large scale education' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Traditional countryside'
 'Rural with mining or quarrying' 'Accessible countryside']"
North Somerset,"['Large scale education' 'Rural with mining or quarrying' 'Market squares'
 'Traditional high streets' 'Healthcare and public administration'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Industrial units'
 'Accessible countryside' 'Low density wholesale and retail'
 'Eat, drink and be merry' 'Business parks'
 'Mining and quarrying facilities' 'Primarily residential suburbs'
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas' 'Town fringe countryside '
 'Teachers and carers in metro suburbs' 'Multiethnic urban high streets']"
North Tyneside,"['Business parks' 'Manufacturing, energy and utilities'
 'Mining and quarrying facilities' 'Low density wholesale and retail'
 'Public administration and security' 'Regional business centres'
 'Traditional high streets' 'Non-metropolitan suburban areas'
 'Market squares' 'Healthcare and public administration'
 'Large scale education' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries']"
North Warwickshire,"['Market squares' 'Low density wholesale and retail'
 'Public administration and security' 'Mining and quarrying facilities'
 'Business parks' 'Manufacturing, energy and utilities' 'Industrial units'
 'Science and business parks' 'Large scale education'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Town fringe countryside ' 'Primarily residential suburbs']"
North West Leicestershire,"['Market squares' 'Large scale education' 'Business parks'
 'Low density wholesale and retail' 'Rural with mining or quarrying'
 'Public administration and security' 'Science and business parks'
 'Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Accessible countryside' 'Traditional high streets' 'Industrial units'
 'Town fringe countryside ' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Traditional countryside']"
